SDB|CIS|A64M150 |CUSTOMER DEFINITION MAINTENANCE RECORDS           |OUTPUT|DISK   |QSAM|FIXED   |00255|A64M150 |FB |00000|N
SDB|CIS|A64M180 |CUSTOMER RELATIONSHIP ROLE MAINT RECORDS          |OUTPUT|DISK   |QSAM|FIXED   |00255|A64M180 |FB |00000|N
SDB|CIS|A64M190 |CUST/INST SEGMENTATION ELEMENT MAINT RECORDS      |OUTPUT|DISK   |QSAM|FIXED   |00255|A64M190 |FB |00000|N
SDB|CIS|A64M230 |CUSTOMER HIERARCHY RECORD                         |OUTPUT|DISK   |QSAM|FIXED   |00255|A64M230 |FB |00000|N
SDB|CIS|A64PCDO |CDMF DATA DB2 LOAD FILE                           |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64PCDO |VB |00000| 
SDB|CIS|A64TDAO |CIS DUMP/RESTORE TDA OUTPUT FILE                  |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64TDAO |   |00000| 
SDB|CIS|A64UCSO |CIS DUMP/RESTORE UCS OUTPUT FILE                  |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64UCSO |   |00000|N
SDB|CIS|A64122O |FDIC-Customer Output File                         |OUTPUT|DISK   |QSAM|FIXED   |01178|A64122O |FB |00000|N
SDB|CIS|A64124O |FDIC-Customer Deposit Join Output File            |OUTPUT|DISK   |QSAM|FIXED   |00072|A64124O |FB |00000|N
SDB|CIS|A65A01I |CIS DB2 1.2 CUSTOMER BASE CONV INPUT FILE         |INPUT |DISK   |QSAM|FIXED   |00641|A65A01I |FB |00000|N
SDB|CIS|A65A01O |CIS DB2 CUSTOMER BASE CONVERSION OUTPUT           |OUTPUT|DISK   |QSAM|FIXED   |00613|A65A01O |FB |00000|N
SDB|CIS|A65A04I |CIS DB2 1.4 CUSTOMER BASE CONV INPUT FILE (NAICS) |INPUT |DISK   |QSAM|FIXED   |00805|A65A04I |FB |00000|N
SDB|CIS|A65A04O |CIS DB2 1.4 CUSTOMER BASE CONVERSION OUTPUT(NAICS)|OUTPUT|DISK   |QSAM|FIXED   |00805|A65A04O |FB |00000|N
SDB|CIS|A65A05O |CIS DB2 1.4 CUSTOMER BASE CONVERSION OUTPUT       |OUTPUT|DISK   |QSAM|FIXED   |00793|A65A05O |FB |00000|N
SDB|CIS|A65A11I |CIS DB2 1.2 CUSTOMER REMARKS CONV INPUT FILE      |INPUT |DISK   |QSAM|FIXED   |00078|A65A11I |FB |00000|N
SDB|CIS|A65A11O |CIS DB2 1.3 CUSTOMER REMARKS CONV OUTPUT FILE     |OUTPUT|DISK   |QSAM|FIXED   |00078|A65A11O |FB |00000|N
SDB|CIS|A65A21I |CIS DB2 1.3 ADDRESS BASE CONV INPUT FILE          |INPUT |DISK   |QSAM|FIXED   |00232|A65A21I |FB |00000|N
SDB|CIS|A65A21O |CIS DB2 1.3.01 ADDRESS BASE CONV OUTPUT FILE      |OUTPUT|DISK   |QSAM|FIXED   |00245|A65A21O |FB |00000|N
SDB|CIS|A65A25I |CIS DB2 1.2 ADDRESS REMARKS CONV INPUT FILE       |INPUT |DISK   |QSAM|FIXED   |00085|A65A25I |FB |00000|N
SDB|CIS|A65A25O |CIS DB2 1.3 ADDRESS REMARKS CONV OUTPUT FILE      |OUTPUT|DISK   |QSAM|FIXED   |00087|A65A25O |FB |00000|N
SDB|CIS|A65A31I |CIS DB2 1.2 ACCOUNT BASE CONV INPUT FILE          |INPUT |DISK   |QSAM|FIXED   |00131|A65A31I |FB |00000|N
SDB|CIS|A65A31O |CIS DB2 1.3 ACCOUNT BASE CONV OUTPUT FILE         |OUTPUT|DISK   |QSAM|FIXED   |00134|A65A31O |FB |00000|N
SDB|CIS|A65A32I |CIS DB2 1.2 ACCOUNT REMARKS CONV INPUT FILE       |INPUT |DISK   |QSAM|FIXED   |00091|A65A32I |FB |00000|N
SDB|CIS|A65A32O |CIS DB2 1.3 ACCOUNT REMARKS CONV OUTPUT FILE      |OUTPUT|DISK   |QSAM|FIXED   |00093|A65A32O |FB |00000|N
SDB|CIS|A65A51O |CIS ISI ISISCRUB INPUT OPEN                       |OUTPUT|DISK   |QSAM|FIXED   |00436|A65A51O |FB |00000|N
SDB|CIS|A65A52I |ISI INPUT ISISCRUB FILE                           |INPUT |DISK   |QSAM|VARIABLE|04470|A65A52I |VB |00000|N
SDB|CIS|A65A52O |ISI OUTPUT SCRUB FILE                             |OUTPUT|DISK   |QSAM|VARIABLE|04470|A65A52O |VB |00000|N
SDB|CIS|A65A53I |ISIMATCH FILE                                     |INPUT |DISK   |QSAM|FIXED   |00825|A65A53I |FB |00000|N
SDB|CIS|A65A53O |ISIMATCH OUTPUT                                   |OUTPUT|DISK   |QSAM|FIXED   |00825|A65A53O |FB |00000|N
SDB|CIS|A65A54I |ISIMATCH OUTPUT READ                              |INPUT |DISK   |QSAM|FIXED   |00170|A65A54I |FB |00000|N
SDB|CIS|A65A54O |ISIMATCH OUTPUT WRITE                             |OUTPUT|DISK   |QSAM|FIXED   |00170|A65A54O |FB |00000|N
SDB|CIS|A65A60I |CIS DB2 1.4 CUSTOMER CONV INPUT FILE FOR NAICS    |INPUT |DISK   |QSAM|FIXED   |00805|A65A60I |FB |00000|N
SDB|CIS|A65A60O |CIS DB2 1.4 CUSTOMER CONV OUTPUT FILE FOR NAICS   |OUTPUT|DISK   |QSAM|FIXED   |00805|A65A60O |FB |00000|N
SDB|CIS|A65A73O |CIS DB2 1.3 PHONE SEGMENT CONV OUTPUT FILE        |OUTPUT|DISK   |QSAM|FIXED   |00058|A65A73O |FB |00000|N
SDB|CIS|A65L81I |CIS EXTRACT FOR ADF SCRUB                         |INPUT |DISK   |QSAM|FIXED   |00211|A65L81I |FB |00000|N
SDB|CIS|A65L81O |CIS EXTRACT FOR ADF SCRUB                         |OUTPUT|DISK   |QSAM|FIXED   |00211|A65L81O |FB |00000|N
SDB|CIS|A65R53I |CIS RIS NEW SEPARATED CUSTS                       |INPUT |DISK   |QSAM|VARIABLE|00520|A65R53I |   |00000|N
SDB|CIS|A65R54I |CDMF D/R DUMP FILE                                |INPUT |DISK   |QSAM|FIXED   |32756|A65R54I |   |00000|N
